",""COD.IBGE7"",""REGIÃO"",""UF"",""PORTE"",""MUNICÍPIO"",""falha em educaçãoo"",""ANO_FALHA"",""tempofalha"",""serv_esta_med"",""serv_per_cap_med"",""Conselho edu criação"",""idad_Conselho edu"",""Falha_ant_Consel"",""soma contratos"",""NEP"",""Ideologia"",""Arrec_Prop"",""PIBpercapita"",""IDHM"",""tm"",""PERCENT_ganhador"",""TaxadeUrbanizaÁ„o"",""Sul"",""centro_Oeste"",""Sudeste"",""Nordeste"",""Norte"",""POP"",""LN_POP"",""RM"""
"25,""1100346"",""1 - Nort"",""11"",""3 - 10001 atÈ 20000"",""Alvorada D'Oeste"",""0"",""2012"",""12"",""0.8924374214"","" 35.188413"",""2005"","" 7"",""0"","" 6"",""1.315082"",""6.69"","" 248.331395"",""  8702.7500"",""0.708"",""0.33566773"",""0.760409"",""0.504000"",""0"",""0"",""0"",""0"",""1"",""  19373"","" 9.871636"",""0"""
"26,""1100379"",""1 - Nort"",""11"",""3 - 10001 atÈ 20000"",""Alto Alegre dos Parecis"",""0"",""2012"",""12"",""0.8833495558"","" 33.573682"",""1998"",""14"",""0"","" 6"",""1.517316"",""3.83"",""  29.803917"","" 12194.5400"",""0.592"",""0.25638333"",""0.659059"",""0.294000"",""0"",""0"",""0"",""0"",""1"",""   9678"","" 9.177611"",""0"""
"27,""1100403"",""1 - Nort"",""11"",""3 - 10001 atÈ 20000"",""Alto ParaÌso"",""0"",""2012"",""12"",""0.6862498154"","" 28.158529"",""-"","" 0"",""1"","" 3"",""1.662387"",""6.12"",""  43.745202"",""  9432.6200"",""0.678"",""0.30542359"",""0.601545"",""0.456000"",""0"",""0"",""0"",""0"",""1"",""  11166"","" 9.320629"",""0"""
"28,""1100452"",""1 - Nort"",""11"",""4 - 20001 atÈ 50000"",""Buritis"",""0"",""2012"",""12"",""0.7125878977"","" 22.380083"",""-"","" 0"",""1"",""11"",""3.344447"",""6.69"","" 120.861817"",""  8835.7500"",""0.672"",""0.31772604"",""0.388807"",""0.554000"",""0"",""0"",""0"",""0"",""1"",""  10357"","" 9.245418"",""0"""
"29,""1100502"",""1 - Nort"",""11"",""2 - 5001 atÈ 10000"",""Novo Horizonte do Oeste"",""0"",""2012"",""12"",""0.7533556864"","" 36.219004"",""2012"","" 0"",""0"","" 3"",""2.043632"",""6.74"",""  48.443690"","" 10361.3800"",""0.649"",""0.27311760"",""0.526681"",""0.152000"",""0"",""0"",""0"",""0"",""1"",""  10814"","" 9.288597"",""0"""
"30,""1100601"",""1 - Nort"",""11"",""2 - 5001 atÈ 10000"",""Cacaul‚ndia"",""0"",""2012"",""12"",""0.8191935692"","" 48.822621"",""2011"","" 1"",""0"","" 6"",""1.702312"",""8.02"","" 161.934401"","" 16526.0300"",""0.646"",""0.19869372"",""0.615962"",""0.327000"",""0"",""0"",""0"",""0"",""1"",""   5077"","" 8.532476"",""0"""
"31,""1100700"",""1 - Nort"",""11"",""3 - 10001 atÈ 20000"",""Campo Novo de RondÙnia"",""1"",""2004"","" 4"",""0.8180684308"","" 26.112296"",""2007"","" 5"",""0"","" 2"",""2.493947"",""5.75"",""  10.740056"",""  1729.8146"",""0.595"",""0.53527854"",""0.476438"",""0.262000"",""0"",""0"",""0"",""0"",""1"",""   7107"","" 8.868835"",""0"""
"32,""1100809"",""1 - Nort"",""11"",""3 - 10001 atÈ 20000"",""Candeias do Jamari"",""0"",""2012"",""12"",""0.6662258274"","" 32.685703"",""-"","" 0"",""1"","" 6"",""2.791906"",""3.78"",""  61.559942"","" 10883.9800"",""0.674"",""0.27945084"",""0.404693"",""0.593000"",""0"",""0"",""0"",""0"",""1"",""  11575"","" 9.356603"",""0"""
"33,""1100908"",""1 - Nort"",""11"",""1 - AtÈ 5000"",""Castanheiras"",""0"",""2012"",""12"",""0.7802986950"","" 61.872551"",""2004"","" 8"",""0"","" 2"",""2.457041"",""6.74"","" 223.982574"","" 14073.4100"",""0.701"",""0.25327582"",""0.431063"",""0.236000"",""0"",""0"",""0"",""0"",""1"",""   4209"","" 8.344980"",""0"""
"34,""1100924"",""1 - Nort"",""11"",""2 - 5001 atÈ 10000"",""Chupinguaia"",""1"",""2004"","" 4"",""0.6481715385"","" 73.262530"",""-"","" 0"",""1"","" 1"",""1.688460"",""8.37"",""  31.097589"",""  4179.9598"",""0.481"",""0.22201268"",""0.598410"",""0.354000"",""0"",""0"",""0"",""0"",""1"",""   4175"","" 8.336870"",""0"""
